$version=2
**** Load  :         1         Sgmnt:    1
2029   2  35163454.73578.73712.13983.43997.23976.64106.53872.4  3810  34803147.3
2029   34135.64222.54041.44640.14816.24909.65066.24709.24446.14313.54315.24004.6
2030   12465.82333.92603.91842.51587.81581.51545.31676.22088.22080.32316.32037.8
2030   23656.63592.93721.83860.54142.74157.14135.64270.84027.23962.43619.23273.3
2030   34301.14391.4  42034825.65008.8  51065268.94897.64623.9  44864487.94164.8
**** Load  :         5         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1585.48554.17618.28 437.5377.02375.52366.94398.02495.83493.95   550483.87
2025   2868.25853.13883.74916.67983.67987.08981.991014.1956.25940.86859.38777.22
2025   31021.31042.7997.981145.81189.31212.41251.11162.91097.91065.21065.6988.91
2026   1585.48554.17618.28 437.5377.02375.52366.94398.02495.83493.95   550483.87
2026   2868.25853.13883.74916.67983.67987.08981.991014.1956.25940.86859.38777.22
2026   31021.31042.7997.981145.81189.31212.41251.11162.91097.91065.21065.6988.91
2027   1597.19565.25630.65446.25384.56383.03374.27405.98505.75503.83   561493.55
2027   2885.61870.19901.41   9351003.31006.81001.61034.4975.38959.68876.56792.76
2027   31041.71063.61017.91168.81213.11236.61276.11186.21119.91086.51086.91008.7
2028   1609.14576.56643.26455.18392.24390.69381.75414.09515.86513.91572.22503.42
2028   2903.33 887.6919.44 953.71023.4  10271021.6  1055994.88978.87 894.1808.62
2028   31062.51084.81038.31192.11237.31261.41301.61209.91142.31108.21108.71028.9
2029   1621.32 588.1656.12464.28 400.1 398.5389.39422.38526.19524.18583.67513.48
2029   2921.39905.36937.82972.771043.91047.51042.11076.11014.8998.44911.98824.78
2029   31083.81106.51059.1  12161262.11286.61327.61234.11165.11130.41130.81049.4
2030   1633.74599.86669.25473.57408.09406.48397.18430.83536.71534.67595.33523.76
2030   2939.81923.46956.59992.241064.81068.51062.91097.71035.11018.4930.21 841.3
2030   31105.51128.71080.31240.31287.31312.31354.21258.81188.4  11531153.51070.4
**** Load  :        36         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        47         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1284.18     0     0     0     0     0     0     0     0     0     0     0
2025   2724.03     0     0     0     0     0     0     0     0     0     0     0
2025   3830.29     0     0     0     0     0     0     0     0     0     0     0
2026   1284.18     0     0     0     0     0     0     0     0     0     0     0
2026   2724.03     0     0     0     0     0     0     0     0     0     0     0
2026   3830.29     0     0     0     0     0     0     0     0     0     0     0
2027   1284.18     0     0     0     0     0     0     0     0     0     0     0
2027   2724.03     0     0     0     0     0     0     0     0     0     0     0
2027   3830.29     0     0     0     0     0     0     0     0     0     0     0
2028   1284.18     0     0     0     0     0     0     0     0     0     0     0
2028   2724.03     0     0     0     0     0     0     0     0     0     0     0
2028   3830.29     0     0     0     0     0     0     0     0     0     0     0
2029   1284.18     0     0     0     0     0     0     0     0     0     0     0
2029   2724.03     0     0     0     0     0     0     0     0     0     0     0
2029   3830.29     0     0     0     0     0     0     0     0     0     0     0
2030   1284.18     0     0     0     0     0     0     0     0     0     0     0
2030   2724.03     0     0     0     0     0     0     0     0     0     0     0
2030   3830.29     0     0     0     0     0     0     0     0     0     0     0
**** Load  :         6         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1351.29 332.5370.97 262.5226.21225.31220.16238.81 297.5296.37   330290.32
2025   2520.95511.88530.24   550 590.2592.25589.19608.45573.75564.52515.63466.33
2025   3612.76625.63598.79 687.5713.59727.44750.65697.74658.75639.11639.38593.35
2026   1351.29 332.5370.97 262.5226.21225.31220.16238.81 297.5296.37   330290.32
2026   2520.95511.88530.24   550 590.2592.25589.19608.45573.75564.52515.63466.33
2026   3612.76625.63598.79 687.5713.59727.44750.65697.74658.75639.11639.38593.35
2027   1363.59344.13383.95271.69234.12 233.2227.87247.17 307.9306.74341.56300.47
2027   2539.19529.77 548.8569.25610.84612.99609.82629.75593.81584.27533.68482.63
2027   3634.22 647.5619.75711.56738.54752.91776.92722.17681.78661.48661.76614.09
2028   1376.32356.18397.38281.19242.33241.35235.84255.81318.69317.47353.51311.01
2028   2558.06548.33   568589.16632.25634.42631.15651.77614.63604.71552.36499.56
2028   3656.42670.18641.42736.45764.43779.23 804.1747.42705.68684.62684.93635.63
2029   1389.47368.65 411.3291.04 250.8249.81 244.1264.78329.84 328.6365.87321.89
2029   2577.57567.52 587.9 609.8654.35656.65653.25674.61636.11 625.9571.67517.04
2029   3679.36693.64 663.9762.25791.15806.54832.25773.61730.35708.61708.87657.87
2030   1403.12381.56 425.7301.23259.58258.55252.64274.04341.39 340.1378.69333.16
2030   2597.81 587.4608.47631.14677.27679.61 676.1 698.2658.39 647.8 591.7535.14
2030   3703.17717.94687.13788.93818.85834.74861.37800.66755.93 733.4733.71 680.9
**** Load  :        37         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0169.31175.47407.12363.64275.14181.82161.62
2025   2     0     0     0     0     0251.09270.13556.62634.93662.64477.93432.52
2025   3     0     0     0     0     0291.62330.16628.58793.66801.17587.02551.04
2026   1     0     0     0     0     0169.31175.47407.12363.64275.14181.82161.62
2026   2     0     0     0     0     0251.09270.13556.62634.93662.64477.93432.52
