$version=2
**** Load  :        27         Sgmnt:    1
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
**** Load  :        31         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1510.97   494557.94   420383.23 402.5396.29415.48   490464.71   496397.42
2025   2757.74 760.5797.48   880999.87  10581060.51058.6   945885.16   775638.35
2025   3891.29 929.5900.58  11001208.91299.51351.21213.9  10851002.1   961812.23
2026   1510.97   494557.94   420383.23 402.5396.29415.48   490464.71   496397.42
2026   2757.74 760.5797.48   880999.87  10581060.51058.6   945885.16   775638.35
2026   3891.29 929.5900.58  11001208.91299.51351.21213.9  10851002.1   961812.23
2027   1531.41513.77580.24 436.8398.56 418.6412.14 432.1 509.6 483.3515.84413.31
2027   2788.05790.93829.37 915.21039.91100.3  11031100.9 982.8920.58806.01663.88
2027   3926.94 966.7936.59  11441257.31351.51405.21262.51128.41042.2999.45844.71
2028   1552.67534.31603.47454.27 414.5435.34428.62449.38529.98502.63536.47429.85
2028   2819.59822.55862.56951.791081.51144.31147.11144.91022.1957.38838.23690.45
2028   3964.041005.3974.071189.71307.51405.51461.4  13131173.51083.91039.4 878.5
2029   1574.77555.68 627.6472.45431.07452.75445.77467.36551.19522.74557.93447.03
2029   2852.35855.46897.06989.891124.71190.1  11931190.8  1063995.69871.77718.05
2029   31002.61045.6  10131237.41359.81461.81519.91365.51220.51127.3  1081913.62
2030   1597.76577.92652.71491.35448.32470.87463.61486.06573.22543.64580.24464.92
2030   2886.45889.69932.941029.51169.71237.71240.71238.41105.51035.5906.63746.79
2030   31042.71087.41053.51286.91414.31520.21580.71420.11269.31172.31124.2950.19
**** Load  :        32         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1 85.16 82.33 92.99    70 63.87 67.08 66.05 69.25 81.67 77.45 82.67 66.24
2025   2126.29126.75132.91146.67166.65176.33176.76176.43 157.5147.53129.17106.39
2025   3148.55154.92 150.1183.33201.48216.58225.19202.32180.83167.02160.17135.37
2026   1 85.16 82.33 92.99    70 63.87 67.08 66.05 69.25 81.67 77.45 82.67 66.24
2026   2126.29126.75132.91146.67166.65176.33176.76176.43 157.5147.53129.17106.39
2026   3148.55154.92 150.1183.33201.48216.58225.19202.32180.83167.02160.17135.37
2027   1 86.86 83.98 94.84  71.4 65.14 68.43 67.38 70.64  83.3 78.99 84.31 67.57
2027   2128.82129.29135.57 149.6169.96179.86180.31179.97160.65150.46131.74108.53
2027   3151.52158.02153.09   187205.49220.92229.72206.39184.45170.34163.35 138.1
2028   1 88.59 85.66 96.75 72.84 66.46  69.8 68.72 72.05 84.97 80.57    86  68.9
2028   2131.38131.87138.29152.61 173.4183.46 183.9183.56163.88153.47134.38110.68
2028   3154.53161.17156.16190.76209.65225.34234.29 210.5188.15173.75166.63140.82
2029   1 90.37 87.38 98.68 74.29 67.77  71.2 70.08 73.48 86.66 82.19 87.73  70.3
2029   2134.01134.52141.04155.65176.83187.14187.56187.22167.14156.56137.08112.92
2029   3157.63164.41159.28194.56 213.8229.86238.96 214.7 191.9177.25169.98143.68
2030   1 92.19 89.12100.66 75.78 69.13 72.61  71.5 74.95 88.39 83.83 89.49  71.7
2030   2136.71 137.2143.87158.77180.38190.86191.34190.96170.48159.68139.83115.17
2030   3 160.8167.68162.47198.46218.09234.43243.77218.99195.73180.78173.38146.53
**** Load  :        74         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0 48.96 42.28 51.18147.37149.88     0  5.82
2025   2     0     0     0     0     0  72.6 65.09 73.16162.49 287.8     0     0
2025   3     0     0     0     0     0 51.07 33.53 11.62     0     0     0     0
2026   1     0     0     0     0     0 48.96 42.28 51.18147.37149.88     0  5.82
2026   2     0     0     0     0     0  72.6 65.09 73.16162.49 287.8     0     0
2026   3     0     0     0     0     0 51.07 33.53 11.62     0     0     0     0
2027   1     0     0     0     0     0 48.96 42.28 51.18147.37149.88     0  5.82
2027   2     0     0     0     0     0  72.6 65.09 73.16162.49 287.8     0     0
2027   3     0     0     0     0     0 51.07 33.53 11.62     0     0     0     0
2028   1     0     0     0     0     0 48.96 42.28 51.18147.37149.88     0  5.82
2028   2     0     0     0     0     0  72.6 65.09 73.16162.49 287.8     0     0
2028   3     0     0     0     0     0 51.07 33.53 11.62     0     0     0     0
2029   1     0     0     0     0     0 48.96 42.28 51.18147.37149.88     0  5.82
2029   2     0     0     0     0     0  72.6 65.09 73.16162.49 287.8     0     0
2029   3     0     0     0     0     0 51.07 33.53 11.62     0     0     0     0
2030   1     0     0     0     0     0 48.96 42.28 51.18147.37149.88     0  5.82
2030   2     0     0     0     0     0  72.6 65.09 73.16162.49 287.8     0     0
2030   3     0     0     0     0     0 51.07 33.53 11.62     0     0     0     0
**** Load  :        76         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
2030   2     0     0     0     0     0     0     0     0     0     0     0     0
2030   3     0     0     0     0     0     0     0     0     0     0     0     0
